Vth/V,HV/kV,I/uA,Uncertainty/uA,Numerator,Denominator,Efficiency/%,Error in eff/%
1.8,5.40,0.08,0.01,161,3073,5.24,0.40194329
1.8,5.60,0.09,0.01,276,1388,19.88,1.07132869
1.8,5.80,0.11,0.01,531,1005,52.84,1.57466197
1.8,6.00,0.15,0.01,772,1063,72.62,1.367587894
1.8,6.10,0.20,0.01,765,1004,76.20,1.344092318
1.8,6.20,0.45,0.06,780,1044,74.71,1.345236111
1.8,6.30,1.30,0.15,1032,1276,80.88,1.100927576
1.8,6.25,0.78,0.07,797,1012,78.75,1.285812436
1.8,6.15,0.27,0.05,779,1023,76.15,1.332447761
1.8,5.90,0.12,0.01,641,1003,63.91,1.516463286
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!