V/kV,I/uA,Uncertainty/uA,,"70% isobutane, 30% CO2"
0.006,0,0,,
0.575,0,0.01,,
0.970,0.01,0.01,,
1.482,0.01,0.01,,
1.950,0.01,0.01,,
2.482,0.02,0.01,,
2.929,0.03,0.01,,
3.48,0.03,0.01,,
4.02,0.04,0.01,,
4.49,0.05,0.01,,
4.81,0.06,0.01,,
4.95,0.07,0.01,,
5.04,0.08,0.01,,
5.19,0.10,0.01,,
5.30,0.10,0.01,,
5.34,0.10,0.01,,
5.39,0.11,0.01,,
5.51,0.13,0.01,,
5.60,0.16,0.02,,
5.66,0.19,0.02,,
5.71,0.21,0.02,,
5.77,0.26,0.02,,
5.81,0.30,0.03,,
5.86,0.33,0.02,,
5.90,0.40,0.03,,
5.93,0.47,0.03,,
5.97,0.51,0.04,,
6.02,0.58,0.05,,
6.05,0.68,0.05,,
6.09,0.77,0.07,,
6.12,0.9,0.1,,
6.16,1.05,0.1,,
6.19,1.15,0.15,,