V/kV,I/uA,Uncertainty/uA,,"80% freon, 20% isobutane"
0.007,0,0,,
0.528,0,0.01,,
1.085,0.01,,,
1.460,0.01,0.01,,
1.946,0.02,,,
2.551,0.03,,,
2.993,0.04,,,
3.48,0.04,0.01,,
4.01,0.06,0.01,,
4.47,0.06,0.01,,
5.02,0.08,0.01,,
5.30,0.10,0.01,,
5.39,0.11,0.01,,
5.51,0.12,0.01,,
5.61,0.13,0.01,,
5.69,0.14,0.01,,
5.81,0.16,0.01,,
5.90,0.18,0.01,,
6.02,0.21,0.01,,
6.12,0.23,0.01,,
6.21,0.26,0.01,,
6.30,0.28,0.01,,
6.40,0.32,0.01,,
6.51,0.39,0.02,,
6.61,0.45,0.02,,
6.70,0.48,0.03,,
6.80,0.59,0.03,,
6.91,0.71,0.04,,
7.02,0.83,0.04,,
7.09,0.93,0.05,,
7.19,1.07,0.08,,
7.22,1.16,0.07,,