V/kV,I/uA,Uncertainty/uA,,100% freon
0.006,0,0,,
0.505,0,0,,
0.995,0.01,0,,
1.459,0.01,0,,
1.948,0.02,0,,
2.510,0.03,0.01,,
3.018,0.03,0.01,,
3.55,0.04,0,,
4.01,0.05,0.01,,
4.42,0.06,0.01,,
4.51,0.06,0.01,,
4.71,0.06,0.01,,
4.95,0.07,0.01,,
5.19,0.08,0.01,,
5.30,0.08,0.01,,
5.39,0.09,0.01,,
5.51,0.09,0.01,,
5.65,0.10,0.01,,
5.79,0.12,0.01,,
5.90,0.14,0.01,,
6.02,0.19,0.01,,
6.09,0.24,0.02,,
6.11,0.28,0.03,,
6.14,0.32,0.03,,
6.18,0.38,0.03,,
6.21,0.49,0.04,,
6.26,0.70,0.1,,
6.30,0.87,0.1,,
6.33,1.10,0.15,,