V/kV,I/uA,Uncertainty/uA,,100% isobutane
0.007,0,0,,
0.577,0,0,,
0.996,0.01,,,
1.462,0.01,,,
2.043,0.02,,,
2.462,0.03,0.01,,
2.997,0.03,0.01,,
3.57,0.04,,,
4.02,0.05,,,
4.51,0.06,,,
5.02,0.07,0.01,,
5.49,0.09,0.01,,
5.58,0.10,0.01,,
5.68,0.11,0.01,,
5.81,0.13,0.01,,
5.91,0.14,0.01,,
6.02,0.16,0.01,,
6.09,0.18,0.01,,
6.14,0.19,0.01,,
6.21,0.23,0.02,,
6.27,0.25,0.01,,
6.32,0.28,0.02,,
6.37,0.34,0.01,,
6.42,0.38,0.01,,
6.49,0.46,0.02,,
6.52,0.55,0.02,,
6.55,0.57,0.04,,
6.59,0.63,0.02,,
6.63,0.69,0.03,,
6.66,0.78,0.05,,
6.70,0.92,0.1,,
6.72,0.95,0.1,,
6.76,1.05,0.15,,