Voltage/kV,Current/uA,Uncertainty/uA,,,Flushed at 35sccm for 30 minutes,,,80/20
0.004,0,,,,,,,
0.525,0.01,0.01,,,,,,
0.925,0.01,,,,,,,
1.527,0.02,,,,,,,
2.039,0.03,,,,,,,
2.457,0.03,,,,,,,
2.946,0.04,,,,,,,
3.54,0.05,0.01,,,,,,
4.01,0.06,0.01,,,,,,
4.48,0.08,0.01,,,,,,
5.01,0.10,0.01,,,,,,
5.11,0.11,0.01,,,,,,
5.20,0.12,0.01,,,,,,
5.29,0.12,0.01,,,,,,
5.39,0.13,,,,,,,
5.61,0.16,0.01,,,,,,
5.67,0.17,0.01,,,,,,
5.79,0.18,0.01,,,,,,
5.88,0.21,0.01,,,,,,
6.01,0.25,0.01,,,,,,
6.05,0.27,0.02,,,,,,
6.09,0.29,0.01,,,,,,
6.19,0.33,0.02,,,,,,
6.28,0.43,0.02,,,,,,
6.37,0.54,0.04,,,,,,
6.41,0.58,0.03,,,,,,
6.43,0.63,0.02,,,,,,
6.46,0.67,0.03,,,,,,
6.56,0.85,0.05,,,,,,